gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000106034,581.1140454606357,-1.3536076917711601,0.2803613233604115,3.629773022925738e-7,2.2775828528468094e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000289544,31.883855273157536,-2.584006132016844,0.5600411581001233,3.762657975237963e-7,2.3560329911790296e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000288961,29.491846062921088,-2.106885416024468,0.45024561683440206,3.844315906975292e-7,2.4052800438581123e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000189077,431.80571071772846,-1.185930127990332,0.24406964421211003,3.879207003234256e-7,2.425212261511051e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000011478,133.53915673927364,-1.2938334561796456,0.268066952516053,3.978576437305887e-7,2.482159732556446e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000116711,339.0972455438486,-1.4327091374258019,0.2992975013176385,4.006359198480926e-7,2.4962459417503137e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000111247,44.44725879023444,-1.584054512530006,0.3329184053617009,4.033577814136943e-7,2.511259728802405e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000211966,46.77904668811007,-2.324101404724317,0.5025287984816327,4.054628154267555e-7,2.5230433937634795e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000110079,166.0557189903585,-1.5503096542141788,0.32595136790459417,4.057191318551676e-7,2.5233288952672795e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000114631,48.054278666380995,-1.7916727547460225,0.38038993926847386,4.0652142338743275e-7,2.5276631515886475e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000229989,969.6059818198763,-1.7203950907085748,0.3648102301684778,4.0774118851261014e-7,2.534590249587718e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000198951,2348.6604585159994,-1.200366687280712,0.24762624506440425,4.090253062632657e-7,2.541255154094725e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000166479,1619.2505820073177,-1.107811766285924,0.22751516871539057,4.109700948919781e-7,2.5520157472033713e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000280273,26.34678611341024,-2.3500577630177633,0.5079889660151612,4.150957235551302e-7,2.5756340601032684e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000090971,28.25039828339889,-1.8484183602523583,0.39294426796404364,4.1571052166777827e-7,2.578781616822726e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000165591,198.05646445910727,-1.2423881264589904,0.2571773645669698,4.16380436403887e-7,2.58160176469442e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000155970,115.50177500130152,-1.8493925773176496,0.3941297441100486,4.1849706910735645e-7,2.5933841631350444e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000135441,233.49128519918213,-1.1480767548311581,0.23650309789490442,4.200888887552646e-7,2.601903855921683e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000273768,530.4512776094675,-3.438977177832876,0.7657301240629988,4.243437403892045e-7,2.6255447838013165e-6,stroke_d1 vs control (ACUTE),Downregulated
